Variable;Description;Min;Max;Information
Attr2_D;Satisfaction attribute 2 association with BRAND D;1;10;Att2.Provides a comprehensive range of products / BRAND_D
Attr2_E;Satisfaction attribute 2 association with BRAND E;1;10;Att2.Provides a comprehensive range of products / BRAND_E
Attr2_F;Satisfaction attribute 2 association with BRAND F;1;10;Att2.Provides a comprehensive range of products / BRAND_F
Attr3_A;Satisfaction attribute 3 association with BRAND A;1;10;Att3.Considered a premium option by patients / BRAND_A
Attr3_B;Satisfaction attribute 3 association with BRAND B;1;10;Att3.Considered a premium option by patients / BRAND_B
Attr3_C;Satisfaction attribute 3 association with BRAND C;1;10;Att3.Considered a premium option by patients / BRAND_C
Attr3_D;Satisfaction attribute 3 association with BRAND D;1;10;Att3.Considered a premium option by patients / BRAND_D
Attr3_E;Satisfaction attribute 3 association with BRAND E;1;10;Att3.Considered a premium option by patients / BRAND_E
Attr3_F;Satisfaction attribute 3 association with BRAND F;1;10;Att3.Considered a premium option by patients / BRAND_F
Attr4_A;Satisfaction attribute 4 association with BRAND A;1;10;Att4.Provides materials that support patient education / BRAND_A
Attr4_B;Satisfaction attribute 4 association with BRAND B;1;10;Att4.Provides materials that support patient education / BRAND_B
Attr4_C;Satisfaction attribute 4 association with BRAND C;1;10;Att4.Provides materials that support patient education / BRAND_C
Attr4_D;Satisfaction attribute 4 association with BRAND D;1;10;Att4.Provides materials that support patient education / BRAND_D
Attr4_E;Satisfaction attribute 4 association with BRAND E;1;10;Att4.Provides materials that support patient education / BRAND_E
Attr4_F;Satisfaction attribute 4 association with BRAND F;1;10;Att4.Provides materials that support patient education / BRAND_F
Attr5_A;Satisfaction attribute 5 association with BRAND A;1;10;Att5.Offers digital tools / BRAND_A
Attr5_B;Satisfaction attribute 5 association with BRAND B;1;10;Att5.Offers digital tools / BRAND_B
Attr5_C;Satisfaction attribute 5 association with BRAND C;1;10;Att5.Offers digital tools / BRAND_C
Attr5_D;Satisfaction attribute 5 association with BRAND D;1;10;Att5.Offers digital tools / BRAND_D
Attr5_E;Satisfaction attribute 5 association with BRAND E;1;10;Att5.Offers digital tools / BRAND_E
Attr5_F;Satisfaction attribute 5 association with BRAND F;1;10;Att5.Offers digital tools / BRAND_F
Attr6_A;Satisfaction attribute 6 association with BRAND A;1;10;Att6.Delivers strong profitability for my practice / BRAND_A
Attr6_B;Satisfaction attribute 6 association with BRAND B;1;10;Att6.Delivers strong profitability for my practice / BRAND_B
Attr6_C;Satisfaction attribute 6 association with BRAND C;1;10;Att6.Delivers strong profitability for my practice / BRAND_C
Attr6_D;Satisfaction attribute 6 association with BRAND D;1;10;Att6.Delivers strong profitability for my practice / BRAND_D
Attr6_E;Satisfaction attribute 6 association with BRAND E;1;10;Att6.Delivers strong profitability for my practice / BRAND_E
Attr6_F;Satisfaction attribute 6 association with BRAND F;1;10;Att6.Delivers strong profitability for my practice / BRAND_F
Attr7_A;Satisfaction attribute 7 association with BRAND A;1;10;Att7.Comes from a lab that adds value to grow my business / BRAND_A
Attr7_B;Satisfaction attribute 7 association with BRAND B;1;10;Att7.Comes from a lab that adds value to grow my business / BRAND_B
Attr7_C;Satisfaction attribute 7 association with BRAND C;1;10;Att7.Comes from a lab that adds value to grow my business / BRAND_C
Attr7_D;Satisfaction attribute 7 association with BRAND D;1;10;Att7.Comes from a lab that adds value to grow my business / BRAND_D
Attr7_E;Satisfaction attribute 7 association with BRAND E;1;10;Att7.Comes from a lab that adds value to grow my business / BRAND_E
Attr7_F;Satisfaction attribute 7 association with BRAND F;1;10;Att7.Comes from a lab that adds value to grow my business / BRAND_F
Attr8_A;Satisfaction attribute 8 association with BRAND A;1;10;Att8.Provides reliable online support  / BRAND_A
Attr8_B;Satisfaction attribute 8 association with BRAND B;1;10;Att8.Provides reliable online support  / BRAND_B
Attr8_C;Satisfaction attribute 8 association with BRAND C;1;10;Att8.Provides reliable online support  / BRAND_C
Attr8_D;Satisfaction attribute 8 association with BRAND D;1;10;Att8.Provides reliable online support  / BRAND_D
Attr8_E;Satisfaction attribute 8 association with BRAND E;1;10;Att8.Provides reliable online support  / BRAND_E
Attr8_F;Satisfaction attribute 8 association with BRAND F;1;10;Att8.Provides reliable online support  / BRAND_F
Attr9_A;Satisfaction attribute 9 association with BRAND A;1;10;Att9.Balances profitability with patient satisfaction effectively / BRAND_A
Attr9_B;Satisfaction attribute 9 association with BRAND B;1;10;Att9.Balances profitability with patient satisfaction effectively / BRAND_B
Attr9_C;Satisfaction attribute 9 association with BRAND C;1;10;Att9.Balances profitability with patient satisfaction effectively / BRAND_C
Attr9_D;Satisfaction attribute 9 association with BRAND D;1;10;Att9.Balances profitability with patient satisfaction effectively / BRAND_D
Attr9_E;Satisfaction attribute 9 association with BRAND E;1;10;Att9.Balances profitability with patient satisfaction effectively / BRAND_E
Attr9_F;Satisfaction attribute 9 association with BRAND F;1;10;Att9.Balances profitability with patient satisfaction effectively / BRAND_F
Attr10_A;Satisfaction attribute 10 association with BRAND A;1;10;Att10.Uses innovative or advanced technology / BRAND_A
Attr10_B;Satisfaction attribute 10 association with BRAND B;1;10;Att10.Uses innovative or advanced technology / BRAND_B
Attr10_C;Satisfaction attribute 10 association with BRAND C;1;10;Att10.Uses innovative or advanced technology / BRAND_C
Attr10_D;Satisfaction attribute 10 association with BRAND D;1;10;Att10.Uses innovative or advanced technology / BRAND_D
Attr10_E;Satisfaction attribute 10 association with BRAND E;1;10;Att10.Uses innovative or advanced technology / BRAND_E
Attr10_F;Satisfaction attribute 10 association with BRAND F;1;10;Att10.Uses innovative or advanced technology / BRAND_F
Attr11_A;Satisfaction attribute 11 association with BRAND A;1;10;Att11.Invests actively in scientific research / BRAND_A
Attr11_B;Satisfaction attribute 11 association with BRAND B;1;10;Att11.Invests actively in scientific research / BRAND_B
Attr11_C;Satisfaction attribute 11 association with BRAND C;1;10;Att11.Invests actively in scientific research / BRAND_C
Attr11_D;Satisfaction attribute 11 association with BRAND D;1;10;Att11.Invests actively in scientific research / BRAND_D
Attr11_E;Satisfaction attribute 11 association with BRAND E;1;10;Att11.Invests actively in scientific research / BRAND_E
Attr11_F;Satisfaction attribute 11 association with BRAND F;1;10;Att11.Invests actively in scientific research / BRAND_F
Attr12_A;Satisfaction attribute 12 association with BRAND A;1;10;Att12.Company employs knowledgeable and responsive sales reps / BRAND_A
Attr12_B;Satisfaction attribute 12 association with BRAND B;1;10;Att12.Company employs knowledgeable and responsive sales reps / BRAND_B
Attr12_C;Satisfaction attribute 12 association with BRAND C;1;10;Att12.Company employs knowledgeable and responsive sales reps / BRAND_C
Attr12_D;Satisfaction attribute 12 association with BRAND D;1;10;Att12.Company employs knowledgeable and responsive sales reps / BRAND_D
Attr12_E;Satisfaction attribute 12 association with BRAND E;1;10;Att12.Company employs knowledgeable and responsive sales reps / BRAND_E
Attr12_F;Satisfaction attribute 12 association with BRAND F;1;10;Att12.Company employs knowledgeable and responsive sales reps / BRAND_F
Attr13_A;Satisfaction attribute 13 association with BRAND A;1;10;Att13.Representatives offer useful training and research content at seminars/conferences / BRAND_A
Attr13_B;Satisfaction attribute 13 association with BRAND B;1;10;Att13.Representatives offer useful training and research content at seminars/conferences / BRAND_B
Attr13_C;Satisfaction attribute 13 association with BRAND C;1;10;Att13.Representatives offer useful training and research content at seminars/conferences / BRAND_C
Attr13_D;Satisfaction attribute 13 association with BRAND D;1;10;Att13.Representatives offer useful training and research content at seminars/conferences / BRAND_D
Attr13_E;Satisfaction attribute 13 association with BRAND E;1;10;Att13.Representatives offer useful training and research content at seminars/conferences / BRAND_E
Attr13_F;Satisfaction attribute 13 association with BRAND F;1;10;Att13.Representatives offer useful training and research content at seminars/conferences / BRAND_F
Attr14_A;Satisfaction attribute 14 association with BRAND A;1;10;Att14.Sales reps understand and respond to my needs effectively / BRAND_A
Attr14_B;Satisfaction attribute 14 association with BRAND B;1;10;Att14.Sales reps understand and respond to my needs effectively / BRAND_B
Attr14_C;Satisfaction attribute 14 association with BRAND C;1;10;Att14.Sales reps understand and respond to my needs effectively / BRAND_C
Attr14_D;Satisfaction attribute 14 association with BRAND D;1;10;Att14.Sales reps understand and respond to my needs effectively / BRAND_D
Attr14_E;Satisfaction attribute 14 association with BRAND E;1;10;Att14.Sales reps understand and respond to my needs effectively / BRAND_E
Attr14_F;Satisfaction attribute 14 association with BRAND F;1;10;Att14.Sales reps understand and respond to my needs effectively / BRAND_F
Attr15_A;Satisfaction attribute 15 association with BRAND A;1;10;Att15.I maintain a strong professional relationship with the representative / BRAND_A
Attr15_B;Satisfaction attribute 15 association with BRAND B;1;10;Att15.I maintain a strong professional relationship with the representative / BRAND_B
Attr15_C;Satisfaction attribute 15 association with BRAND C;1;10;Att15.I maintain a strong professional relationship with the representative / BRAND_C
Attr15_D;Satisfaction attribute 15 association with BRAND D;1;10;Att15.I maintain a strong professional relationship with the representative / BRAND_D
Attr15_E;Satisfaction attribute 15 association with BRAND E;1;10;Att15.I maintain a strong professional relationship with the representative / BRAND_E
Attr15_F;Satisfaction attribute 15 association with BRAND F;1;10;Att15.I maintain a strong professional relationship with the representative / BRAND_F
Attr16_A;Satisfaction attribute 16 association with BRAND A;1;10;Att16.Is an easy brand to sell / BRAND_A
Attr16_B;Satisfaction attribute 16 association with BRAND B;1;10;Att16.Is an easy brand to sell / BRAND_B
Attr16_C;Satisfaction attribute 16 association with BRAND C;1;10;Att16.Is an easy brand to sell / BRAND_C
Attr16_D;Satisfaction attribute 16 association with BRAND D;1;10;Att16.Is an easy brand to sell / BRAND_D
Attr16_E;Satisfaction attribute 16 association with BRAND E;1;10;Att16.Is an easy brand to sell / BRAND_E
Attr16_F;Satisfaction attribute 16 association with BRAND F;1;10;Att16.Is an easy brand to sell / BRAND_F
Attr17_A;Satisfaction attribute 17 association with BRAND A;1;10;Att17.Provides superior visual clarity for patients / BRAND_A
Attr17_B;Satisfaction attribute 17 association with BRAND B;1;10;Att17.Provides superior visual clarity for patients / BRAND_B
Attr17_C;Satisfaction attribute 17 association with BRAND C;1;10;Att17.Provides superior visual clarity for patients / BRAND_C
Attr17_D;Satisfaction attribute 17 association with BRAND D;1;10;Att17.Provides superior visual clarity for patients / BRAND_D
Attr17_E;Satisfaction attribute 17 association with BRAND E;1;10;Att17.Provides superior visual clarity for patients / BRAND_E
Attr17_F;Satisfaction attribute 17 association with BRAND F;1;10;Att17.Provides superior visual clarity for patients / BRAND_F
Attr18_A;Satisfaction attribute 18 association with BRAND A;1;10;Att18.Consistently delivers high-quality products / BRAND_A
Attr18_B;Satisfaction attribute 18 association with BRAND B;1;10;Att18.Consistently delivers high-quality products / BRAND_B
Attr18_C;Satisfaction attribute 18 association with BRAND C;1;10;Att18.Consistently delivers high-quality products / BRAND_C
Attr18_D;Satisfaction attribute 18 association with BRAND D;1;10;Att18.Consistently delivers high-quality products / BRAND_D
Attr18_E;Satisfaction attribute 18 association with BRAND E;1;10;Att18.Consistently delivers high-quality products / BRAND_E
Attr18_F;Satisfaction attribute 18 association with BRAND F;1;10;Att18.Consistently delivers high-quality products / BRAND_F
